,category,headline,authors,link,short_description,date
508,CRIME,Manhattan District Attorney Vows To Stop Prosecuting Minor Marijuana Cases,Carla Herreria,https://www.huffingtonpost.com/entry/manhattan-da-stops-prosecuting-low-level-marijuana-cases_us_5afb616be4b0a59b4dfe7cd4,"“The dual mission of the Manhattan D.A.’s Office is a safer New York and a more equal justice system,” said District Attorney Cyrus Vance Jr.",2018-05-16
555,CRIME,"Larry Nassar Blames His Victims, Says He 'Was Victimized' In Newly Released Videos",Jenna Amatulli,https://www.huffingtonpost.com/entry/larry-nassar-blames-his-victims-calls-himself-victim-in-newly-released-videos_us_5afc5762e4b0a59b4dffb032,"“That’s my self-torture, I guess you could say. Yes, she was victimized. Yes, I was victimized, to myself.”",2018-05-16
556,CRIME,"Video Shows 8-Year-Old With Autism Taunted, Abused By Bus Driver",David Lohr,https://www.huffingtonpost.com/entry/video-shows-8-year-old-with-autism-taunted-abused-by-bus-driver_us_5afc882ee4b0779345d56bee,"""It's clearly despicable,"" said an attorney for the girl's family.",2018-05-16
734,CRIME,"Suspect In Custody After Shooting At California High School, 1 Injured",Sebastian Murdock,https://www.huffingtonpost.com/entry/shots-reported-at-california-high-school_us_5af5a68fe4b0e57cd9f8e95e,The victim is in stable condition after being shot in the arm.,2018-05-11
739,CRIME,Accused Golden State Killer Faces Four Additional Murder Counts,David Lohr,https://www.huffingtonpost.com/entry/four-additional-murder-counts-filed-in-golden-state-killer-case_us_5af5ed9de4b00d7e4c1a801c,Joseph James DeAngelo has now been charged in a dozen homicides.,2018-05-11
742,CRIME,7 Killed In What May Be Australia's Worst Mass Shooting Since 1996,"Colin Packham and Jonathan Barrett, Reuters",https://www.huffingtonpost.com/entry/7-dead-australia-mass-shooting_us_5af51c6ae4b032b10bf9150d,"“I can only describe it as a horrific situation,” a police commissioner said.",2018-05-11
749,CRIME,Police Search Suspected Serial Killer's Dumping Ground,David Lohr,https://www.huffingtonpost.com/entry/police-search-suspected-serial-killer-dumping-ground_us_5af4ded3e4b0e57cd9f7c2e5,"Michigan cops say Arthur Ream bragged ""about murdering four to six people.""",2018-05-11
800,CRIME,Nurse Charged In Death Of Ex-Trump Adviser H.R. McMaster's Father,Nina Golgowski,https://www.huffingtonpost.com/entry/nurse-charged-in-mcmaster-death_us_5af49710e4b032b10bf8bd53,Christann Shyvin Gainey was arrested after the 84-year-old died of a head injury at a nursing home last month.,2018-05-10
818,CRIME,"Girls, 10 and 11, Accused Of Plotting To Kill Classmate",David Lohr,https://www.huffingtonpost.com/entry/girls-10-and-11-accused-of-plotting-to-kill-classmate_us_5af47c94e4b04d3b2c9182a9,"""This is not something we commonly see,"" a cop said.",2018-05-10
835,CRIME,Woman Alleges Rapper Young Lo Raped Her While She Was Trapped In Chris Brown's Home,Doha Madani,https://www.huffingtonpost.com/entry/chris-brown-gloria-allred-lawsuit-rape-sexual-assault_us_5af376bce4b09bb419e4b4fc,Prominent attorney Gloria Allred is representing the unidentified plaintiff.,2018-05-10
837,CRIME,"S.C. Man Wanted White Supremacists To Kill Black Neighbor, Burn Cross In His Yard: FBI",Hayley Miller,https://www.huffingtonpost.com/entry/south-carolina-white-supremacists-black-neighbor_us_5af46583e4b09bb419e5bc29,"Brandon Lecroy, 25, was indicted by a grand jury on charges of murder for hire.",2018-05-10
965,CRIME,George Zimmerman Accused Of Stalking Detective Working On Trayvon Martin Film,David Moye,https://www.huffingtonpost.com/entry/george-zimmerman-stalking_us_5af0c331e4b0ab5c3d68b889,Zimmerman appeared to threaten to feed the investigator to an alligator.,2018-05-08
990,CRIME,Police Hope To Use DNA To Catch The Zodiac Killer,David Lohr,https://www.huffingtonpost.com/entry/dna-zodiac-killer_us_5af0c840e4b0ab5c3d68bc90,"""We could finally have answers to one of the greatest whodunits of all time,"" a criminologist said.",2018-05-08
1026,CRIME,138 Were Killed Last Year In Record Number Of U.S. 'Active Shooter' Attacks,Mary Papenfuss,https://www.huffingtonpost.com/entry/138-killed-in-record-active-shooting-incidents-2017_us_5aef8124e4b0c4f19323e987,It’s the first time an annual death toll in active shooting incidents exceeded 90 since the FBI began tracking the crimes in 2000.,2018-05-07
1063,CRIME,"Georgia Highway Sniper 'Idolized' Parkland Shooter, Police Say",Hayley Miller,https://www.huffingtonpost.com/entry/georgia-sniper-parkland_us_5aef4d66e4b041fd2d27e6e7,"Rex Whitmire Harbour, 26, wrote that Nikolas Cruz was a ""hero,"" officials said.",2018-05-06
1087,CRIME,Man Who Killed Indian Immigrant Sentenced To Life In Prison,Sebastian Murdock,https://www.huffingtonpost.com/entry/kansas-man-facing-hate-crime-charges-sentenced-to-50-years-in-prison_us_5aedc718e4b0ab5c3d661437,"""He was only enjoying a glass of beer with his friend,"" the victim's wife said.",2018-05-05
1095,CRIME,Badass Grandpa Uses Fancy Footwork To Trip Armed Suspect Fleeing From Cops,Lee Moran,https://www.huffingtonpost.com/entry/grandfather-trips-armed-suspect-columbus_us_5aed7604e4b041fd2d26f2ce,Police said the man “likely saved” the 18-year-old suspect's life with his bold move.,2018-05-05
1151,CRIME,Gang Used Drone Swarm To Thwart FBI Hostage Raid,David Lohr,https://www.huffingtonpost.com/entry/drone-swarm-thwarts-fbi-gang-raid_us_5aec995de4b0ab5c3d655cfe,An official said the drones livestreamed video while they buzzed over the agents.,2018-05-04
1196,CRIME,"1 Person Dead After Shooting At Nashville, Tennessee, Mall",Sebastian Murdock and Hayley Miller,https://www.huffingtonpost.com/entry/shooting-nashville-mall_us_5aeb6453e4b0c4f19320510c,A suspect is in custody.,2018-05-03
1201,CRIME,1 Person Found Dead After Explosion Rocks Site Of Alleged Domestic Hostage Situation,Sara Boboltz,https://www.huffingtonpost.com/entry/connecticut-explosion-domestic-hostage_us_5aeb0ebde4b06748dc905680,Connecticut authorities say a man took his wife hostage in their home for several days.,2018-05-03
1212,CRIME,Camille Cosby Says Husband's Guilty Verdict Is 'Mob Justice' In Bizarre Statement,Alanna Vagianos,https://www.huffingtonpost.com/entry/camille-cosby-mob-justice-statement_us_5aeb0950e4b00f70f0efedd1,This is the first time she has spoken out since Bill Cosby was found guilty of sexual assault.,2018-05-03
1215,CRIME,Bodycam Video Of Police Entering Las Vegas Shooter's Hotel Room Finally Released,Dominique Mosbergen,https://www.huffingtonpost.com/entry/las-vegas-shooting-body-cam-footage_us_5aeaaa6ee4b00f70f0ef2704,A Nevada Supreme Court has ordered Las Vegas police to release bodycam footage and audio from 911 calls from the night of the deadly rampage.,2018-05-03
1271,CRIME,Veterinarian Accused Of Smuggling Heroin Inside Puppies' Bellies,"Jon Herskovitz, Reuters",https://www.huffingtonpost.com/entry/vet-puppies-heroin_us_5ae9708ee4b06748dc8dadcc,"If convicted, Andres Lopez Elorez faces up to life imprisonment.",2018-05-02
1275,CRIME,Parkland Suspect’s Brother Jailed On Probation Violation Charge,Nina Golgowski,https://www.huffingtonpost.com/entry/parkland-suspects-brother-jailed-on-parole-violation-charge_us_5ae9aaabe4b022f71a03ad18,"Zachary Cruz, 18, was driving without a license near a Florida high school. His probation banned him from getting close to schools.",2018-05-02
1278,CRIME,White Supremacist Found Guilty In Charlottesville Beating Of Black Man,Sara Boboltz,https://www.huffingtonpost.com/entry/white-supremacist-found-guilty-in-charlottesville-beating-of-black-man_us_5ae9bd61e4b06748dc8e516b,"A jury recommended a 10-year jail sentence and $20,000 fine for the attack on DeAndre Harris.",2018-05-02
1297,CRIME,9 Dead After C-130 Military Cargo Plane Crashes In Georgia,"Sebastian Murdock, Hayley Miller, and Willa Frej",https://www.huffingtonpost.com/entry/c130-cargo-plane-crash-georgia_us_5ae9df7ee4b06748dc8ec251,The plane and its crew had been actively involved in hurricane relief efforts.,2018-05-02
1358,CRIME,Janice Dickinson Says She Won't Feel 'Vindicated' Until Cosby Is Jailed,Alanna Vagianos,https://www.huffingtonpost.com/entry/janice-dickinson-says-she-wont-feel-vindicated-until-cosby-is-in-jail_us_5ae8641be4b02baed1be0f1f,"Cosby was found guilty of sexual assault last week, but sentencing has not been set.",2018-05-01
1369,CRIME,"57 White Supremacists In Texas Indicted In Meth, Kidnapping Cases",Sebastian Murdock,https://www.huffingtonpost.com/entry/texas-white-supremacists-meth-kidnapping_us_5ae8a42fe4b055fd7fd02bec,"One supremacist allegedly ""used a hatchet to chop off a portion"" of a victim's index finger.",2018-05-01
1423,CRIME,Wealthy Texas Couple Accused Of Enslaving Young Woman For 16 Years,David Lohr,https://www.huffingtonpost.com/entry/wealthy-texas-couple-accused-of-enslaving-young-woman-for-16-years_us_5ae7868fe4b055fd7fced624,"One of the suspects is the son of Guinea's first president, CNN reports.",2018-04-30
1466,CRIME,How To Convict A Rapist,Angelina Chapin,https://www.huffingtonpost.com/entry/how-to-convict-a-rapist_us_5ae23bd3e4b02baed1b861f5,Bill Cosby's guilty verdict is a rare victory for survivors. But it will take a lot more to combat sexual assault myths that run rampant in courtrooms.,2018-04-29
1541,CRIME,The Cosby Verdict Won’t Fix A Broken Legal System,Angelina Chapin,https://www.huffingtonpost.com/entry/bill-cosby-verdict-legal-system_us_5ae3577ae4b02baed1ba198c,"He was found guilty, but the system is still stacked against victims.",2018-04-27
1554,CRIME,Links Suspected Between Severed Heads Found In Louisiana And Texas,David Lohr,https://www.huffingtonpost.com/entry/links-sought-between-severed-heads-found-in-louisiana-and-texas_us_5ae38e45e4b02baed1ba46a9,"""This could be a serial killer's dumping grounds,"" a criminologist said.",2018-04-27
1566,CRIME,DNA From Genealogy Sites Helped Investigators Zero In On 'Golden State Killer' Suspect,Antonia Blumberg,https://www.huffingtonpost.com/entry/dna-genealogy-site-golden-state-killer-suspect_us_5ae25c20e4b04aa23f215823,"Joseph James DeAngelo, 72, was arrested in connection with the string of crimes on Tuesday.",2018-04-27
1617,CRIME,Patton Oswalt Celebrates Michelle McNamara's Legacy After Arrest In 'Golden State Killer' Case,Sara Boboltz,https://www.huffingtonpost.com/entry/patton-oswalt-michelle-mcnamara-golden-state-killer-arrested_us_5ae0ec52e4b055fd7fc79205,"“I think you got him, Michelle.""",2018-04-26
1621,CRIME,Missing Teen Found Safe After Ominous 'Call Police' Phone Message,David Lohr,https://www.huffingtonpost.com/entry/missing-kentucky-teen-messaged-friend-call-police_us_5ae23404e4b055fd7fc9e8e5,Amber Wagers was last seen getting into a white car on Wednesday.,2018-04-26
1625,CRIME,Bill Cosby Found Guilty In Sexual Assault Retrial,Alanna Vagianos,https://www.huffingtonpost.com/entry/bill-cosby-found-guilty-on-all-counts-in-sexual-assault-retrial_us_5adf7c79e4b061c0bfa274b3,The 80-year-old comedian was accused of drugging and sexually assaulting Andrea Constand in 2004.,2018-04-26
1627,CRIME,Bill Cosby Yells At Prosecutor After Guilty Verdict: 'You A**hole!',Hayley Miller,https://www.huffingtonpost.com/entry/bill-cosby-yells-prosecutor_us_5ae21a5fe4b055fd7fc9b869,Cosby's outburst came after the prosecutor said the comedian was a flight risk.,2018-04-26
1635,CRIME,2 Arizona Women Are Accused Of Performing Dangerous Dental Surgeries,David Lohr,https://www.huffingtonpost.com/entry/two-arizona-women-accused-of-performing-dangerous-dental-surgeries_us_5ae1fc9ce4b04aa23f20cc85,One alleged victim claims she got a serious infection after they extracted several teeth.,2018-04-26
1683,CRIME,Nassar Judge Speaks Out For The First Time Since Highly Publicized Sentencing,Alanna Vagianos,https://www.huffingtonpost.com/entry/nassar-judge-speaks-out-for-the-first-time-since-highly-publicized-sentencing_us_5ae0d2bde4b04aa23f1eb4fd,"""I support the girls,"" Judge Rosemarie Aquilina said.",2018-04-25
1697,CRIME,Authorities Confirm Arrest Of Ex-Cop In 'Golden State Serial Killer' Case,David Lohr and Antonia Blumberg,https://www.huffingtonpost.com/entry/authorities-confirm-arrest-of-ex-cop-in-golden-state-serial-killer-case_us_5ae0d118e4b04aa23f1eb356,"""For over 40 years, helpless victims have waited for justice,"" a district attorney said.",2018-04-25
1709,CRIME,Cops Make Arrest In Infamous 'Golden State Killer' Case: Report,David Lohr,https://www.huffingtonpost.com/entry/golden-state-killer-suspect-arrest_us_5ae087e3e4b07560f397d49c,It's been nearly 50 years since the first homicide.,2018-04-25
1754,CRIME,Dallas Officer Shot At Home Depot Dies. 2 Others Still In Hospital.,"Sebastian Murdock, Carla Herreria, and Doha Madani",https://www.huffingtonpost.com/entry/dallas-officers-shot-home-depot_us_5adfb0fbe4b07560f396644f,"Officer Rogelio Santander, 27, died the day after the shooting.",2018-04-24
1766,CRIME,Hefty Prison Sentence For Man Who Stole $1.2 Million In Fajitas,David Lohr,https://www.huffingtonpost.com/entry/hefty-prison-sentence-for-man-who-stole-12m-in-fajitas_us_5adfadc5e4b07be4d4c5a0d6,"""It got to a point where I couldn’t control it anymore,” he said.",2018-04-24
1780,CRIME,Hero In Waffle House Shooting Is Raising Funds For Victims,David Lohr,https://www.huffingtonpost.com/entry/waffle-house-hero-is-raising-funds-for-victims-of-the-mass-shooting_us_5adf592ce4b07560f3960e93,"Tennessee lawmakers presented James Shaw Jr. with a resolution that calls him ""a hero twice over.""",2018-04-24
1827,CRIME,"Police Arrest Waffle House Shooting Suspect, Ending Manhunt",Doha Madani,https://www.huffingtonpost.com/entry/waffle-house-suspect-arrested_us_5ade20c2e4b0df502a4e71da,"Travis Reinking, 29, was armed when he was arrested Monday, police say.",2018-04-23
1885,CRIME,Felony Charges For Father Of Toddler Who Shot Pregnant Mom,David Moye,https://www.huffingtonpost.com/entry/menzo-brazier-toddler-shot-mom_us_5ada67cde4b075b631e5c63a,"The father allegedly told his daughter, “What did you do? Were you playing with daddy’s gun? ... You aren’t supposed to play with daddy’s gun.”",2018-04-21
1924,CRIME,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,Carla Herreria,https://www.huffingtonpost.com/entry/trenton-florida-deputies-shot_us_5ad93ad3e4b029ebe0228740,The unidentified gunman was found dead outside the restaurant. Officials have not given a motive.,2018-04-20
1928,CRIME,Coroner Reclassifies A Man's Suspicious Death After HuffPost Investigates,David Lohr,https://www.huffingtonpost.com/entry/shawn-arthur-death-reclassified-louisiana_us_5ad8ebace4b03c426dac880c,An incarcerated woman said that she and her partner were involved in Shawn Arthur's death.,2018-04-20
1931,CRIME,'Smallville' Actress Allison Mack Is Charged With Sex Trafficking,David Moye,https://www.huffingtonpost.com/entry/allison-mack-sex-trafficking_us_5ada4793e4b01c279db44806,The actress is accused of recruiting women who were forced to engage in sex with a cult leader.,2018-04-20
2056,CRIME,Don't Count On 'Me Too' To Sway The Bill Cosby Jury,Angelina Chapin,https://www.huffingtonpost.com/entry/bill-cosby-me-too_us_5ad74918e4b03c426daa2fca,The Me Too movement has launched a national discussion on sexual violence. But experts are skeptical about its power inside a courtroom.,2018-04-18
2063,CRIME,Someone Tied A Hedgehog To A Tree With A 'Makeshift Crucifix' Of Shoelaces,Lee Moran,https://www.huffingtonpost.com/entry/hedgehog-tree-wales-crucifix_us_5ad72e9ae4b029ebe01fa299,"The perpetrator in Wales barbarically left the little creature to die, but it survived.",2018-04-18
2080,CRIME,"Unarmed Black Man Killed In 'Mind-Boggling,' Unjustified Barrage Of Police Gunfire: Lawyer",Jenna Amatulli,https://www.huffingtonpost.com/entry/police-killing-of-unarmed-black-man-in-parking-lot-was-unjustified-lawyer-says_us_5ad746ede4b03c426daa2a3a,"An attorney for Diante Yarber's family called it the worst case of ""excessive and unnecessary force"" he's ever seen.",2018-04-18
2127,CRIME,Bungling Robbery Suspects Receive Much-Deserved Dose Of Karma,Lee Moran,https://www.huffingtonpost.com/entry/robbery-suspects-karma-video_us_5ad5c1c2e4b0edca2cbd9ebb,A gusty Mother Nature spoiled the getaway.,2018-04-17
2137,CRIME,Chicago Shootings Spike Amid Weekend Violence,David Lohr,https://www.huffingtonpost.com/entry/chicago-shootings-spike-amid-weekend-violence_us_5ad6703de4b03c426da92c24,More than 600 people have been shot in the city this year.,2018-04-17
2149,CRIME,Woman Burned To Death Can Testify From The Grave,David Lohr,https://www.huffingtonpost.com/entry/woman-burned-to-death-testify-from-grave_us_5ad65cffe4b029ebe01ed373,"""She may be the only victim to testify in their own murder trial,"" a defense attorney said.",2018-04-17
2241,CRIME,Police Release Body Cam Video Of YouTube Shooter Nasim Aghdam,Mary Papenfuss,https://www.huffingtonpost.com/entry/body-cam-youtube-shooter-nasim-aghdam_us_5ad12deae4b077c89ce8b013,"Asked if she wanted to hurt herself or anyone else just hours before shooting, she told California officers: ""No.""",2018-04-14
2370,CRIME,Judge Denies Bill Cosby's Request For A Mistrial After Accuser Has Outburst In Court,Alanna Vagianos,https://www.huffingtonpost.com/entry/bill-cosby-mistrial-denied_us_5acf71fde4b0d70f012ec8b5,He gave Chelan Lasha a warning and told jurors to disregard her comment.,2018-04-12
2444,CRIME,"Feds Investigate After Woman Tells HuffPost She Helped Drug, Rob Up To 100 Men: Attorney",David Lohr,https://www.huffingtonpost.com/entry/feds-investigate-after-woman-tells-huffpost-she-helped-drug-rob-up-to-100-men-attorney_us_5ace50a6e4b06487677637f5,One man's death is linked to the alleged crime spree.,2018-04-11
2576,CRIME,Los Angeles Thieves Steal Second Ambulance In A Week,Mary Papenfuss,https://www.huffingtonpost.com/entry/second-ambulance-stolen-in-los-angeles_us_5acaf2c4e4b0337ad1e97739,Crooks hear the siren song.,2018-04-09
2581,CRIME,Topless Protester Arrested Outside Bill Cosby Retrial,Alanna Vagianos,https://www.huffingtonpost.com/entry/topless-protester-arrested-outside-of-bill-cosby-trial_us_5acb6169e4b07a3485e69dd2,"A woman chanting ""women's lives matter"" reportedly jumped in front of Cosby as he made his way to the courthouse.",2018-04-09
2595,CRIME,Backpage.com Founders Indicted For Facilitating Prostitution On Site,Jenna Amatulli and Ryan J. Reilly,https://www.huffingtonpost.com/entry/backpage-indictment-trafficking_us_5acbcaeae4b0337ad1eadf6a,"The federal government had seized the classifieds website, which featured ads for sex work, days before.",2018-04-09
2618,CRIME,Vatican Arrests Its Own Diplomat After Child Pornography Probe,Mary Papenfuss,https://www.huffingtonpost.com/entry/vatican-busts-its-diplomat-after-child-porn-probe_us_5ac94236e4b0337ad1e8b743,Monsignor Carlo Alberto Capella was first reported by American and Canadian officials.,2018-04-08
2706,CRIME,Here's What To Know About The Bill Cosby Sexual Assault Retrial,Alanna Vagianos,https://www.huffingtonpost.com/entry/heres-what-to-know-about-the-bill-cosby-sexual-assault-retrial_us_5ac7769fe4b0337ad1e72f11,"The comedian's sexual assault retrial will hold new twists, even for people who have closely followed the case.",2018-04-06
2708,CRIME,"NYPD Releases 911 Transcripts, Footage Of Saheed Vassell's Final Moments",Antonia Blumberg,https://www.huffingtonpost.com/entry/nypd-911-footage-saheed-vassell_us_5ac7eb73e4b09d0a1193ce18,"Police fatally shot Vassell, an unarmed black man, on Wednesday.",2018-04-06
2767,CRIME,New York Police Fatally Shoot Unarmed Black Man On Brooklyn Street,Antonia Blumberg and Nick Visser,https://www.huffingtonpost.com/entry/new-york-police-fatally-shoot-black-man_us_5ac55c2ee4b09ef3b2434e86,The man was pointing a pipe at people that police and 911 callers mistook for a gun.,2018-04-05
2801,CRIME,YouTube’s Neighbors Send Stirring Message Of Support After Shooting,Ed Mazza,https://www.huffingtonpost.com/entry/youtube-shooting-walmart-windows_us_5ac45f97e4b063ce2e57116b,Walmart employees in the next building used their windows to show some love.,2018-04-04
2835,CRIME,"If You’re On The Internet Talking About A Shooting, Remember These Things",Paige Lavender,https://www.huffingtonpost.com/entry/talking-about-shootings_us_5ac51973e4b056a8f597c855,Misinformation spreads like wildfire after a shooting. But it doesn't have to.,2018-04-04
2894,CRIME,"YouTube Shooter Was 'Upset' With Company, Police Say","Carla Herreria, Nick Visser, and Hayley Miller",https://www.huffingtonpost.com/entry/youtube-office-shots-fired_us_5ac3de0fe4b093a1eb1fde7e,Four people were injured in the attack at the company's headquarters.,2018-04-03
2896,CRIME,Designer Of Waterslide That Decapitated 10-Year-Old Boy Seized On Murder Charge,Hayley Miller,https://www.huffingtonpost.com/entry/kansas-waterslide-designer_us_5ac37829e4b09712fec4548f,"John Schooley, lead designer of the deadly Verrückt water slide in Kansas, was nabbed at a Texas airport.",2018-04-03
2959,CRIME,'Affluenza Teen' Ethan Couch Released From Jail After 2-Year Sentence,Nina Golgowski,https://www.huffingtonpost.com/entry/ethan-couch-released-from-jail_us_5ac22654e4b0f112dc9dc43c,"Couch, who killed four people in a 2013 drunk-driving crash, wants to go forward ""as a law-abiding citizen,"" his lawyers said.",2018-04-02
2966,CRIME,"Family's Fatal Cliff Car Crash Likely Was Intentional, Police Say",Mary Papenfuss,https://www.huffingtonpost.com/entry/familys-fatal-cliff-car-crash-was-intentional-police-say_us_5ac188c0e4b055e50ace9fda,A couple and their six adopted children are believed to have been killed.,2018-04-02
3049,CRIME,Cosby Judge Refuses To Recuse Himself Over His Wife's Work With Abuse Victims,Alanna Vagianos,https://www.huffingtonpost.com/entry/cosby-judge-refused-request-to-step-down-because-his-wife-works-with-abuse-victims_us_5abe3ff1e4b0a47437aa62ae,Jury selection in the comedian's sexual assault retrial starts Monday and testimony is set to begin April 9.,2018-03-30
3052,CRIME,Parkland High School Shooter Nikolas Cruz Has Been Receiving Tons Of Fan Mail In Prison,"Alex Lasker, AOL.com",https://www.huffingtonpost.com/entry/parkland-high-school-shooter-nikolas-cruz-has-been-receiving-tons-of-fan-mail-in-prison_us_5abe4cc1e4b055e50acd19e9,"Like many infamous prisoners before him, accused Florida gunman Nikolas Cruz is receiving torrents of fan mail from people",2018-03-30
3058,CRIME,Pulse Nightclub Shooter’s Widow Found Not Guilty Of Aiding Her Husband’s Attack,Melissa Jeltsen,https://www.huffingtonpost.com/entry/noor-salman-verdict-pulse-nightclub-shooting_us_5abcefb6e4b03e2a5c7a15da,"Noor Salman's family said she was a victim of Omar Mateen's violence, not his collaborator.",2018-03-30
3136,CRIME,Court Rules Adnan Syed Of 'Serial' Podcast Has The Right To A New Trial,Marina Fang,https://www.huffingtonpost.com/entry/adnan-syed-serial-podcast-new-trial_us_5abd1f47e4b03e2a5c7a6dd1,But prosecutors could still appeal that decision.,2018-03-29
3195,CRIME,How Noor Salman Became The Scapegoat Of The Pulse Massacre,Melissa Jeltsen,https://www.huffingtonpost.com/entry/noor-salman-trial-pulse-massacre_us_5abbe04be4b04a59a313df85,"Prosecutors say she helped her husband's terror attack. Her supporters say she's innocent and the case is “rooted in gendered Islamophobia.""",2018-03-28
3227,CRIME,"Suspect Reportedly Arrested Over Explosives Sent To Washington, D.C. Area",,https://www.huffingtonpost.com/entry/suspect-reportedly-arrested-over-explosives-sent-to-washington-dc-area_us_5aba73cbe4b0decad04e8918,"The FBI was expected to disclose the arrest on Tuesday, a source said.",2018-03-27
3259,CRIME,Larry Nassar's Longtime MSU Boss Arrested On Sexual Misconduct Charges,Doha Madani and Alanna Vagianos,https://www.huffingtonpost.com/entry/william-strampel-larry-nassar-arrested-sexual-misconduct-charges_us_5ab98f93e4b054d118e615c4,William Strampel is also accused of willfully mishandling the abuse claims against Nassar.,2018-03-27
3317,CRIME,Pulse Nightclub Shooter's Father Revealed As Former FBI Informant,Melissa Jeltsen,https://www.huffingtonpost.com/entry/noor-salman-attorneys-case_us_5ab8e30ce4b008c9e5f95322,"Lawyers for Noor Salman, the gunman's widow, have asked the judge to toss the case against her.",2018-03-26
3324,CRIME,Two Women Who Broadcast Islamophobic Mosque Visit With Children Are Indicted,Rowaida Abdelaziz,https://www.huffingtonpost.com/entry/women-children-mosque-felony-video_us_5ab973c7e4b054d118e600f2,The women were charged with third-degree burglary and aggravated criminal damage.,2018-03-26
3326,CRIME,"Parents Threw Hot Oil On Teen For Refusing Forced Marriage, Cops Say",Alanna Vagianos,https://www.huffingtonpost.com/entry/parents-threw-hot-oil-on-teen-for-refusing-forced-marriage-cops-say_us_5ab8e6ebe4b0decad04c01d6,"Parents of the Texas teen have been charged with child abuse, and it's ""highly likely"" a man who offered the family $20,000 to marry her will be arrested.",2018-03-26
3391,CRIME,U.S. Charges Iranians For Global Cyber Attacks,"Dustin Volz, Reuters",https://www.huffingtonpost.com/entry/doj-charges-iranians-cyber-attack_us_5ab50ce4e4b054d118e2365c,The attack pilfered more than 31 terabytes of academic data and intellectual property.,2018-03-23
3459,CRIME,Police Struggle To Find Possible Motives For Austin Bombings,Willa Frej,https://www.huffingtonpost.com/entry/police-struggle-to-find-possible-motives-for-austin-bombings_us_5ab37a2ae4b0decad046ea54,"Mark Anthony Conditt, the suspected bomber who died in a police confrontation Wednesday, didn't drop many hints about his intentions.",2018-03-22
3578,CRIME,'Incendiary Device' In Austin Injures Worker. Police Not Linking It To Package Bombs.,"Andy Campbell, Nick Visser, and Antonia Blumberg",https://www.huffingtonpost.com/entry/sixth-bomb-explosion-austin_us_5ab1a466e4b0decad045110c,"""There was no package explosion,"" police say.",2018-03-21
